reporter,year,knit_share
China,2005,0.46843738824306747
China,2006,0.5066581763390651
China,2007,0.5649222164251967
China,2008,0.5369916441438615
China,2009,0.535065178176868
China,2010,0.551000286603204
China,2011,0.5596581772071891
China,2012,0.5870740469319753
China,2013,0.5864640619657987
China,2014,0.530404768632787
China,2015,0.516478081991961
China,2016,0.5080165999057582
China,2017,0.49454310450935834
China,2018,0.5072161645100789
China,2019,0.5169895063004377
China,2020,0.4998084266220347
China,2021,0.5545702089256577
China,2022,0.541914567354129
China,2023,0.5397868910485378
China,2024,0.5571763130742823
Bangladesh,2005,0.4889209881320837
Bangladesh,2006,0.4934666779473941
Bangladesh,2007,0.5078378151292758
Bangladesh,2008,0.5272082049532618
Bangladesh,2009,0.5268388048067536
Bangladesh,2010,0.5244703422873289
Bangladesh,2011,0.5185411218877474
Bangladesh,2012,0.48886602247503697
Bangladesh,2013,0.48896506178284765
Bangladesh,2015,0.48119037671411014
Bangladesh,2016,0.47921311872935873
Bangladesh,2017,0.49884471408579567
Bangladesh,2018,0.49391341347290657
Viet Nam,2005,0.37741753834335945
Viet Nam,2006,0.3750636828076725
Viet Nam,2007,0.42131227462631793
Viet Nam,2008,0.45816378930542395
Viet Nam,2009,0.4772067323893195
Viet Nam,2010,0.4841858597342605
Viet Nam,2011,0.4609833140392819
Viet Nam,2012,0.4716270303922711
Viet Nam,2013,0.4727562449452594
Viet Nam,2014,0.46604827522339115
Viet Nam,2015,0.47172408514625475
Viet Nam,2016,0.4819945710023121
Viet Nam,2017,0.4942902328832029
Viet Nam,2018,0.491990960119498
Viet Nam,2019,0.495536083538775
Viet Nam,2020,0.506862974125396
Viet Nam,2021,0.5352871895582006
Viet Nam,2022,0.5092124919462273
Viet Nam,2023,0.4908213405625083
India,2005,0.3810372160391182
India,2006,0.39677670878588805
India,2007,0.4405503312957246
India,2008,0.42679878449466063
India,2009,0.4585671328470433
India,2010,0.4305933906437817
India,2011,0.4225074072969872
India,2012,0.4238686635947727
India,2013,0.4431897750164261
India,2014,0.4524365315463414
India,2015,0.45421533948985365
India,2016,0.46636395622335947
India,2017,0.4812810115689994
India,2018,0.48396677934800264
India,2019,0.48514370016668806
India,2020,0.5006442848098436
India,2021,0.5176751370242891
India,2022,0.4919188168290095
India,2023,0.4595541683636576
India,2024,0.4787511810511484
